iter	Logloss
0	0.6634116663
1	0.6319880818
2	0.6042330581
3	0.5774633733
4	0.5529938742
5	0.5290446313
6	0.5061976751
7	0.4848593558
8	0.4623908694
9	0.4468000784
10	0.4322266263
11	0.4159271147
12	0.4030339497
13	0.3897382844
14	0.3774463801
15	0.3590848512
16	0.3486197499
17	0.3366824668
18	0.3285645693
19	0.3216541295
20	0.3153969553
21	0.307258094
22	0.2971895878
23	0.2919808491
24	0.2871720893
25	0.2835705792
26	0.2777693701
27	0.2730035864
28	0.2680811883
29	0.2632669136
30	0.2596214929
31	0.2557070131
32	0.2489340002
33	0.2457900662
34	0.2393365352
35	0.2355672195
36	0.2340647356
37	0.2314208775
38	0.2258765958
39	0.2209398363
40	0.2185506852
41	0.2160316605
42	0.2135762342
43	0.2112117184
44	0.2094522548
45	0.2074382454
46	0.2036972204
47	0.2019021827
48	0.199213117
49	0.1959875679
50	0.1941591532
51	0.1915181052
52	0.1898586744
53	0.1869330042
54	0.1835981561
55	0.1823304112
56	0.1803398841
57	0.1786520081
58	0.1774903792
59	0.1761411936
60	0.1747565757
61	0.1738400047
62	0.172565256
63	0.1701271951
64	0.1692541
65	0.167057942
66	0.1653690429
67	0.1635542445
68	0.1625821035
69	0.1613666677
70	0.1597739593
71	0.1584887613
72	0.1571405477
73	0.1555267173
74	0.1546742433
75	0.1537610392
76	0.1524771407
77	0.1515415887
78	0.1506607875
79	0.1497809912
80	0.1490449571
81	0.1482367355
82	0.147059274
83	0.1464430559
84	0.1451436928
85	0.1443228645
86	0.1436052511
87	0.1428744339
88	0.1414530165
89	0.1402210888
90	0.1397333284
91	0.1387212351
92	0.1373835252
93	0.1362009437
94	0.135587288
95	0.1344890149
96	0.1336811692
97	0.1323392529
98	0.1314023865
99	0.1303373064
100	0.1298296697
101	0.1292181894
102	0.1288023981
103	0.1281789225
104	0.1277135657
105	0.1270342551
106	0.1260441546
107	0.1250196952
108	0.124441125
109	0.1240477401
110	0.122955723
111	0.122204977
112	0.1215261482
113	0.1210956748
114	0.1204946954
115	0.1198538736
116	0.1195340863
117	0.1189737269
118	0.118509918
119	0.117849381
120	0.1174419682
121	0.116707681
122	0.1160759711
123	0.1157242358
124	0.115189857
125	0.114677659
126	0.1144004688
127	0.1138054267
128	0.1132563808
129	0.1127713226
130	0.1122975695
131	0.1116185489
132	0.1112468718
133	0.1107587546
134	0.1103398496
135	0.1100460387
136	0.1095579288
137	0.1090234064
138	0.1086401055
139	0.1082805659
140	0.1079418669
141	0.1076667067
142	0.1073775908
143	0.1070374727
144	0.1067424621
145	0.1063948518
146	0.1059812215
147	0.1056341045
148	0.1052818754
149	0.1048740573
150	0.1045304228
151	0.1042458999
152	0.1037997053
153	0.1032027583
154	0.1027270355
155	0.10232479
156	0.1020618409
157	0.1018779131
158	0.1014422391
159	0.1011427585
160	0.1007022104
161	0.1002110357
162	0.09993483825
163	0.09979153794
164	0.09951155042
165	0.09928492117
166	0.0990296802
167	0.09880237541
168	0.09844865649
169	0.09818579089
170	0.09766093816
171	0.09730735581
172	0.09699215022
173	0.09657773883
174	0.09641477269
175	0.09631127252
176	0.09609315053
177	0.09556487569
178	0.09543774659
179	0.09523060257
180	0.09484372404
181	0.09440405347
182	0.09407961713
183	0.09383456717
184	0.09347141643
185	0.09333347313
186	0.09305669633
187	0.09280279654
188	0.09267759139
189	0.09248528409
190	0.09226791978
191	0.09211839932
192	0.09189981023
193	0.0915266819
194	0.0912702093
195	0.09110377549
196	0.09070948194
197	0.09030092575
198	0.08988762374
199	0.0895926524
200	0.08938094673
201	0.08924170882
202	0.08897471931
203	0.08871591932
204	0.08847579144
205	0.08836434016
206	0.08798929915
207	0.08768581424
208	0.08731291756
209	0.08712199549
210	0.08686388963
211	0.08660913577
212	0.08639994911
213	0.08627166299
214	0.08611275768
215	0.08586321196
216	0.08574219277
217	0.08555176362
218	0.08536750321
219	0.08512427005
220	0.08494824386
221	0.08483431718
222	0.08467246976
223	0.08450550402
224	0.08435107634
225	0.08416032933
226	0.08384651342
227	0.08352078699
228	0.08328776043
229	0.08310705135
230	0.08291076354
231	0.08272818853
232	0.08257455358
233	0.08246264024
234	0.08233836831
235	0.08196177799
236	0.0818175056
237	0.0816590908
238	0.08153026152
239	0.08134465416
240	0.08108477929
241	0.08084469362
242	0.08061469129
243	0.08045187174
244	0.08030865373
245	0.0801995764
246	0.08002078817
247	0.07995157743
248	0.07987691945
249	0.0796490792
250	0.07947622348
251	0.07935322162
252	0.07918544181
253	0.07891677039
254	0.07878760313
255	0.07857118605
256	0.07840689363
257	0.0781942708
258	0.07811819458
259	0.07794294836
260	0.07783262318
261	0.07772820655
262	0.07751413371
263	0.07746934639
264	0.07728092928
265	0.07718062819
266	0.07698139394
267	0.07674318186
268	0.07660673784
269	0.07637000821
270	0.07625982396
271	0.07600316747
272	0.07572087152
273	0.07551721557
274	0.07538807054
275	0.07522238039
276	0.07507336001
277	0.07489751193
278	0.07476547778
279	0.07466627591
280	0.07446028775
281	0.07431895178
282	0.07408437246
283	0.07401063237
284	0.07379881764
285	0.07371283009
286	0.07359729856
287	0.07340516711
288	0.07323277821
289	0.07301054078
290	0.0728572844
291	0.07284266245
292	0.07267358652
293	0.07257772624
294	0.07237327421
295	0.0722577166
296	0.07215409366
297	0.07189196318
298	0.07178121507
299	0.07154909536
300	0.07136444163
301	0.07121032258
302	0.0710972047
303	0.07092110329
304	0.07076210562
305	0.07066573664
306	0.07045697506
307	0.07036533959
308	0.07009847446
309	0.06998525246
310	0.06981095347
311	0.06967149046
312	0.06956034467
313	0.06941656367
314	0.06922849038
315	0.0691542428
316	0.06895952496
317	0.06883348703
318	0.06874437059
319	0.0685489372
320	0.06845389966
321	0.06829678377
322	0.06808899763
323	0.0679026686
324	0.0678095476
325	0.06776272233
326	0.06765093793
327	0.06751436243
328	0.06741138508
329	0.06732124209
330	0.06720240385
331	0.06714503872
332	0.06696658752
333	0.06677731437
334	0.06665152305
335	0.06655846377
336	0.06645689242
337	0.06636445349
338	0.06631049112
339	0.06612971565
340	0.06603761664
341	0.06590790787
342	0.06578055814
343	0.06565123634
344	0.06553996709
345	0.0654150602
346	0.06525739618
347	0.06516781831
348	0.06503216458
349	0.06492497083
350	0.06480944134
351	0.06468393051
352	0.06454164666
353	0.06438375988
354	0.06424546622
355	0.06405373503
356	0.06395492289
357	0.06379368201
358	0.06365703193
359	0.06358683583
360	0.06346375324
361	0.06329637092
362	0.06313616508
363	0.06305549098
364	0.06300507998
365	0.06282723359
366	0.06270353016
367	0.06260596235
368	0.06249641192
369	0.0623404101
370	0.06215640444
371	0.06205797288
372	0.06195420252
373	0.0617473511
374	0.0616558499
375	0.06153129616
376	0.06139106682
377	0.06134967351
378	0.06122719165
379	0.06114079528
380	0.06106308281
381	0.06088896568
382	0.06070137854
383	0.060565461
384	0.06041293245
385	0.06023726985
386	0.06015511909
387	0.0600500623
388	0.05991758892
389	0.0598615821
390	0.05977924265
391	0.05969406972
392	0.05961618044
393	0.05944679376
394	0.05928589585
395	0.05914671223
396	0.05904197759
397	0.05895569978
398	0.05878140847
399	0.05868630619
400	0.0585413866
401	0.05832105144
402	0.05820594872
403	0.05799592233
404	0.05784708728
405	0.05779523272
406	0.05771763627
407	0.05759679412
408	0.05749652407
409	0.05739773288
410	0.05732730166
411	0.05724171521
412	0.057160218
413	0.05706087281
414	0.05697065265
415	0.05689742044
416	0.05678274056
417	0.05666736066
418	0.05655620951
419	0.05649877488
420	0.05637261155
421	0.05622981352
422	0.05607207681
423	0.05597197738
424	0.05583844082
425	0.0557708349
426	0.05572601258
427	0.05562485754
428	0.05556403153
429	0.05545600985
430	0.05538355159
431	0.05525400068
432	0.05511285469
433	0.05499139266
434	0.05492930751
435	0.05486927248
436	0.05470612062
437	0.05460413871
438	0.05454933707
439	0.05448016962
440	0.05442474568
441	0.0543138526
442	0.05420105678
443	0.05413461598
444	0.05404803399
445	0.05391851799
446	0.05380370581
447	0.0536770653
448	0.0535630473
449	0.05349538007
450	0.05343558054
451	0.05326335734
452	0.05314174572
453	0.05306491689
454	0.05295392385
455	0.0529085495
456	0.05276415242
457	0.05265437789
458	0.05250790145
459	0.05242340255
460	0.05231434116
461	0.05215778175
462	0.05205149845
463	0.05195198776
464	0.05190025647
465	0.05179171509
466	0.05169589108
467	0.05163422517
468	0.05154715984
469	0.05147051483
470	0.05140479614
471	0.05129931332
472	0.05124741642
473	0.05114445386
474	0.0510151394
475	0.05092365451
476	0.05085061257
477	0.05078348221
478	0.05068269321
479	0.05058371363
480	0.05050171911
481	0.05040301808
482	0.05031399043
483	0.05021960121
484	0.05014273841
485	0.05002424211
486	0.04996563005
487	0.04992097156
488	0.04982717466
489	0.04969674694
490	0.0496086166
491	0.04955301938
492	0.04950084377
493	0.04943916449
494	0.04936915402
495	0.04931094051
496	0.04926165113
497	0.0491378291
498	0.04908162533
499	0.04902014874
500	0.04893998392
501	0.04883834363
502	0.04871141769
503	0.04863635358
504	0.04857537211
505	0.04850987841
506	0.04844883123
507	0.04836509917
508	0.04831839396
509	0.04822721899
510	0.04818549408
511	0.04809694219
512	0.04805514462
513	0.04798098122
514	0.04792506741
515	0.04785742382
516	0.04778319904
517	0.04772872316
518	0.04764168549
519	0.04755715483
520	0.04750311426
521	0.04742628065
522	0.04733116125
523	0.04722348806
524	0.04719590039
525	0.04710976009
526	0.04698676138
527	0.04692076953
528	0.04682704052
529	0.04676395875
530	0.04669017279
531	0.04661587809
532	0.04652370773
533	0.04643575525
534	0.0463787049
535	0.04626869991
536	0.04619063148
537	0.04614222391
538	0.04607257333
539	0.04597408245
540	0.04587463292
541	0.04578191514
542	0.04568220072
543	0.04558155335
544	0.04553109932
545	0.04546272947
546	0.04540093423
547	0.04536453535
548	0.04524428434
549	0.04520784404
550	0.04513820104
551	0.04507387421
552	0.04500065513
553	0.04492418425
554	0.04483477593
555	0.04476205418
556	0.04466565794
557	0.0446194887
558	0.04456916169
559	0.04447141385
560	0.04440240366
561	0.04433316195
562	0.04426219849
563	0.0441979162
564	0.0441414214
565	0.04404496384
566	0.0439687413
567	0.04388530781
568	0.043830462
569	0.04375946107
570	0.04368193316
571	0.04357555407
572	0.04352230745
573	0.04347371792
574	0.04341419242
575	0.04331968534
576	0.04321062593
577	0.04318116385
578	0.04309500765
579	0.04305129763
580	0.04300627281
581	0.04294412164
582	0.04289386529
583	0.04282803816
584	0.04275935567
585	0.04269676186
586	0.04262564321
587	0.04255600116
588	0.04251701318
589	0.0424826229
590	0.0423888579
591	0.042339175
592	0.04226221153
593	0.04222174488
594	0.04218304125
595	0.04209471222
596	0.04203531387
597	0.04192410068
598	0.04188061945
599	0.0418161061
600	0.04176150344
601	0.04172009036
602	0.04164364292
603	0.04161952194
604	0.04156076493
605	0.04151413353
606	0.04146665435
607	0.04140596764
608	0.04138006847
609	0.04131686369
610	0.04127388888
611	0.04122891507
612	0.04118511656
613	0.04112832391
614	0.04105242277
615	0.04099440882
616	0.04094107377
617	0.04090033221
618	0.04083057607
619	0.04078688941
620	0.04075840146
621	0.04070457288
622	0.04062227698
623	0.04059194769
624	0.04051186229
625	0.04047628549
626	0.04040330846
627	0.04035189927
628	0.04029551285
629	0.04022895216
630	0.04016394739
631	0.04011909586
632	0.04009845655
633	0.0400693357
634	0.04002520654
635	0.03998758039
636	0.03993182304
637	0.03984036899
638	0.03978778287
639	0.03973216388
640	0.03968870981
641	0.0396344726
642	0.03959856431
643	0.03957538133
644	0.03948704843
645	0.03944785144
646	0.03938001266
647	0.03929386217
648	0.0392494476
649	0.03919147704
650	0.03914383785
651	0.039114341
652	0.0390956101
653	0.03902846367
654	0.03897527247
655	0.03895668545
656	0.03891727952
657	0.03887789779
658	0.03884368836
659	0.038819507
660	0.03875097803
661	0.03867941001
662	0.03862637642
663	0.03858012437
664	0.03853325367
665	0.03846183062
666	0.03841106475
667	0.03837588635
668	0.03831585307
669	0.03827604473
670	0.03824335282
671	0.03812430072
672	0.03806641776
673	0.03804884702
674	0.03799687466
675	0.03796077396
676	0.03788416665
677	0.03784947107
678	0.03775877177
679	0.03771666185
680	0.03769791471
681	0.03765934573
682	0.03758565405
683	0.03755294091
684	0.03750322037
685	0.03743260553
686	0.03735127685
687	0.03729786525
688	0.03723328827
689	0.03719402801
690	0.03716363283
691	0.03710265235
692	0.03702401429
693	0.03695754685
694	0.03692651599
695	0.03687607972
696	0.0368343926
697	0.03677026466
698	0.03673992312
699	0.0366980759
700	0.03665630582
701	0.03659872063
702	0.03655791689
703	0.03649779428
704	0.03646223612
705	0.03642288674
706	0.03639234283
707	0.03632822779
708	0.03629137016
709	0.03625536389
710	0.03619537422
711	0.03616504127
712	0.03609916801
713	0.03605256007
714	0.03602299574
715	0.03593570529
716	0.03588741065
717	0.03585058128
718	0.03575929314
719	0.03571612552
720	0.03567398249
721	0.03562208944
722	0.03556487032
723	0.03547946262
724	0.03543069242
725	0.03538263213
726	0.03535139504
727	0.03533522289
728	0.03527871654
729	0.03524442268
730	0.03519893817
731	0.03517828204
732	0.03514779751
733	0.03509958941
734	0.03503905156
735	0.03498289556
736	0.03488429652
737	0.03482912973
738	0.03479474326
739	0.03475608946
740	0.03472255811
741	0.03469489993
742	0.03463184739
743	0.03452939643
744	0.0345020922
745	0.03444861681
746	0.03438762879
747	0.03431859299
748	0.03429748189
749	0.03427194188
750	0.03421572756
751	0.03418373526
752	0.03414483562
753	0.03410395869
754	0.03406151601
755	0.03404917034
756	0.03402541763
757	0.03399010523
758	0.0339494043
759	0.03392809915
760	0.03389545698
761	0.03384039289
762	0.03379571079
763	0.03375838679
764	0.03371278015
765	0.03368147897
766	0.0336320917
767	0.03356130621
768	0.03352948443
769	0.033508313
770	0.0334441088
771	0.03342410447
772	0.03336165372
773	0.03332334194
774	0.03327255813
775	0.03325903407
776	0.03320905913
777	0.03312570383
778	0.0331055872
779	0.03309359546
780	0.03305829089
781	0.03303260657
782	0.03297640096
783	0.03294370201
784	0.03289855965
785	0.0328662101
786	0.03283427616
787	0.03279559039
788	0.03276786346
789	0.03271913552
790	0.03267979443
791	0.03262561717
792	0.03259039071
793	0.03252034747
794	0.03245267179
795	0.03242808737
796	0.03236383032
797	0.03234151756
798	0.03231158212
799	0.03228130952
800	0.03225686836
801	0.0322038476
802	0.03215251954
803	0.03211661114
804	0.03210560728
805	0.03205674296
806	0.03197072127
807	0.0319237055
808	0.03190077035
809	0.03186736606
810	0.03182759175
811	0.0317951332
812	0.03177120436
813	0.03174825122
814	0.03169398931
815	0.03165977239
816	0.03161955903
817	0.03159411204
818	0.03156436952
819	0.03150938165
820	0.03147132597
821	0.03142399468
822	0.0313891601
823	0.03133137394
824	0.0313081148
825	0.03125654264
826	0.03124355648
827	0.03122946929
828	0.03115690464
829	0.03112848188
830	0.03109089701
831	0.03105631666
832	0.03103557656
833	0.03099966824
834	0.03096330964
835	0.03089184539
836	0.03085102658
837	0.0308217029
838	0.03080227882
839	0.03077532569
840	0.03074295561
841	0.03069615372
842	0.03065836007
843	0.03063473824
844	0.03061530536
845	0.0305766582
846	0.0305604974
847	0.03050121941
848	0.03046762875
849	0.03042910063
850	0.03038602135
851	0.03037547897
852	0.03034065203
853	0.03032297655
854	0.0302781645
855	0.0302246787
856	0.03020402525
857	0.03017009009
858	0.03015122432
859	0.03013006808
860	0.03009142674
861	0.03003254712
862	0.0299948418
863	0.02996564578
864	0.0299032761
865	0.02985789323
866	0.02984194135
867	0.02980134682
868	0.02978034571
869	0.02974824972
870	0.02971295654
871	0.029669235
872	0.02962589892
873	0.02959854947
874	0.02956686029
875	0.0295499496
876	0.02951104543
877	0.02948608729
878	0.02943288125
879	0.02940662049
880	0.02938088251
881	0.02935319393
882	0.02930939907
883	0.029283677
884	0.02926475281
885	0.02922661341
886	0.02920026716
887	0.02915712309
888	0.02910475417
889	0.02906544968
890	0.02902919949
891	0.02901500866
892	0.02898339757
893	0.02896081839
894	0.02893831728
895	0.02888392279
896	0.02884896544
897	0.0288229891
898	0.02878269691
899	0.02873683851
900	0.02871868386
901	0.02869552913
902	0.02862534815
903	0.02859760137
904	0.02858137441
905	0.02855085499
906	0.02851402369
907	0.02848290902
908	0.02844868749
909	0.02840855907
910	0.02839508021
911	0.0283737507
912	0.0283470576
913	0.028310974
914	0.0282803952
915	0.0282186509
916	0.0281782043
917	0.02814947783
918	0.02812144012
919	0.02810110395
920	0.02805332543
921	0.02801265067
922	0.02800139074
923	0.02797797608
924	0.02794662138
925	0.02791245533
926	0.02787595638
927	0.02786117028
928	0.0278491411
929	0.027796692
930	0.02778750207
931	0.02776137317
932	0.02771834041
933	0.02769175186
934	0.02766614489
935	0.02765416159
936	0.02760043753
937	0.0275821707
938	0.02754192141
939	0.0275181715
940	0.0274775347
941	0.02745307656
942	0.02743904023
943	0.02740584882
944	0.02737099887
945	0.02734281598
946	0.02731927893
947	0.02726540621
948	0.02725009093
949	0.027239622
950	0.02722548201
951	0.02721636361
952	0.02719214299
953	0.02716350325
954	0.02714641912
955	0.02711632652
956	0.02709624958
957	0.02707561203
958	0.02704632166
959	0.02702215942
960	0.02697808377
961	0.02694066306
962	0.02691823043
963	0.02688932898
964	0.02683023013
965	0.02680264545
966	0.02678518289
967	0.02675966692
968	0.02673631941
969	0.02672018098
970	0.02670157322
971	0.02667425487
972	0.02666275003
973	0.02663430995
974	0.02661832029
975	0.02657166424
976	0.02653153592
977	0.02650782169
978	0.02647771199
979	0.02645499996
980	0.02643415161
981	0.02640948622
982	0.02637372587
983	0.02631595381
984	0.02628812607
985	0.02626908022
986	0.02625425654
987	0.026236698
988	0.02619134544
989	0.02615698455
990	0.02613413771
991	0.02612809899
992	0.02610304181
993	0.02608990767
994	0.02605496657
995	0.02603296748
996	0.0260110428
997	0.02598414358
998	0.02593592425
999	0.02592068796
