iter	Passed	Remaining
181	586	2635
182	589	2631
183	592	2628
184	595	2625
185	599	2622
186	602	2618
187	605	2613
188	608	2608
189	611	2605
190	614	2602
191	617	2600
192	621	2597
193	624	2592
194	627	2590
195	631	2588
196	634	2584
197	637	2580
198	640	2576
199	643	2572
200	646	2569
201	649	2564
202	652	2560
203	655	2556
204	657	2551
205	660	2547
206	663	2543
207	666	2539
208	669	2535
209	672	2531
210	675	2526
211	679	2523
212	681	2519
213	685	2516
214	688	2512
215	691	2509
216	695	2508
217	698	2505
218	701	2502
219	704	2499
220	707	2495
221	711	2492
222	714	2489
223	718	2487
224	721	2484
225	724	2481
226	727	2478
227	730	2474
228	733	2470
229	737	2467
230	740	2463
231	743	2461
232	746	2458
233	750	2455
234	753	2451
235	756	2448
236	759	2446
237	763	2442
238	766	2439
239	769	2435
240	772	2431
241	775	2428
242	778	2424
243	781	2420
244	784	2416
245	786	2412
246	790	2408
247	793	2405
248	796	2400
249	799	2397
250	801	2392
251	804	2389
252	808	2387
253	811	2384
254	814	2380
255	817	2376
256	821	2373
257	824	2371
258	827	2367
259	830	2364
260	833	2360
261	836	2356
262	840	2354
263	843	2350
264	845	2346
265	848	2342
266	852	2339
267	855	2336
268	858	2332
269	861	2329
270	864	2325
271	867	2322
272	871	2319
273	874	2315
274	876	2312
275	880	2308
276	883	2305
277	886	2303
278	890	2300
279	893	2296
280	896	2292
281	898	2288
282	901	2285
283	905	2281
284	908	2278
285	911	2274
286	914	2271
287	917	2267
288	920	2263
289	923	2260
290	926	2256
291	928	2250
292	931	2246
293	934	2243
294	937	2240
295	940	2237
296	944	2235
297	948	2233
298	952	2232
299	955	2229
300	958	2226
301	961	2222
302	964	2219
303	968	2217
304	972	2215
305	978	2219
306	983	2219
307	988	2220
308	993	2220
309	998	2221
310	1003	2223
311	1009	2226
312	1012	2223
313	1016	2220
314	1019	2218
315	1023	2215
316	1027	2213
317	1032	2215
318	1037	2214
319	1041	2213
320	1044	2209
321	1048	2208
322	1051	2204
323	1054	2200
324	1057	2197
325	1061	2193
326	1064	2190
327	1067	2186
328	1070	2182
329	1073	2178
330	1076	2174
331	1079	2171
332	1082	2167
333	1085	2164
334	1088	2160
335	1091	2156
336	1094	2153
337	1097	2149
338	1100	2145
339	1103	2142
340	1106	2139
341	1110	2136
342	1113	2132
343	1116	2128
344	1119	2124
345	1122	2120
346	1125	2117
347	1128	2113
348	1131	2109
349	1134	2106
350	1137	2102
351	1140	2098
352	1143	2095
353	1146	2092
354	1149	2088
355	1152	2085
356	1156	2082
357	1159	2079
358	1162	2076
359	1166	2072
360	1169	2069
361	1172	2065
362	1175	2062
363	1178	2058
364	1181	2055
365	1184	2051
366	1187	2048
367	1190	2044
368	1193	2041
369	1196	2037
370	1200	2034
371	1203	2030
372	1206	2027
373	1209	2024
374	1212	2020
375	1215	2017
376	1218	2013
377	1221	2010
378	1224	2006
379	1227	2003
380	1231	2000
381	1233	1996
382	1236	1992
383	1240	1989
384	1243	1986
385	1246	1982
386	1249	1978
387	1252	1975
388	1255	1972
389	1258	1968
390	1261	1964
391	1264	1960
392	1267	1957
393	1270	1954
394	1274	1951
395	1276	1947
396	1280	1944
397	1283	1940
398	1286	1937
399	1289	1933
400	1292	1930
401	1295	1927
402	1298	1923
403	1301	1920
404	1304	1916
405	1307	1913
406	1310	1910
407	1314	1906
408	1317	1903
409	1320	1899
410	1323	1896
411	1326	1893
412	1329	1890
413	1332	1886
414	1336	1883
415	1339	1880
416	1342	1877
417	1346	1874
418	1349	1871
419	1352	1867
420	1355	1864
421	1359	1861
422	1362	1858
423	1365	1854
424	1368	1851
425	1371	1848
426	1374	1844
427	1377	1841
428	1380	1838
429	1384	1834
430	1387	1831
431	1390	1828
432	1394	1825
433	1397	1822
434	1400	1819
435	1403	1815
436	1406	1812
437	1409	1809
438	1413	1805
439	1416	1802
440	1419	1799
441	1422	1795
442	1425	1792
443	1428	1789
444	1432	1786
445	1435	1782
446	1438	1779
447	1441	1776
448	1444	1772
449	1447	1769
450	1450	1766
451	1454	1762
452	1457	1759
453	1460	1756
454	1463	1753
455	1466	1749
456	1469	1746
457	1473	1743
458	1476	1740
459	1480	1737
460	1483	1734
461	1486	1730
462	1489	1727
463	1493	1724
464	1496	1721
465	1499	1718
466	1502	1714
467	1505	1711
468	1508	1708
469	1511	1704
470	1515	1701
471	1518	1698
472	1521	1695
473	1524	1692
474	1527	1688
475	1530	1685
476	1533	1681
477	1537	1678
478	1540	1675
479	1543	1672
480	1546	1669
481	1549	1665
482	1553	1662
483	1556	1659
484	1559	1655
485	1562	1652
486	1565	1649
487	1568	1645
488	1572	1642
489	1575	1639
490	1578	1636
491	1581	1632
492	1584	1629
493	1587	1626
494	1590	1622
495	1593	1619
496	1596	1616
497	1600	1613
498	1603	1609
499	1606	1606
500	1609	1602
501	1612	1599
502	1615	1596
503	1618	1593
504	1622	1589
505	1625	1586
506	1628	1583
507	1631	1580
508	1634	1577
509	1638	1573
510	1641	1570
511	1644	1567
512	1647	1563
513	1650	1560
514	1653	1557
515	1656	1553
516	1659	1550
517	1662	1547
518	1665	1543
519	1668	1540
520	1671	1537
521	1675	1533
522	1678	1530
523	1681	1527
524	1684	1524
525	1687	1520
526	1690	1517
527	1693	1513
528	1696	1510
529	1699	1507
530	1702	1504
531	1706	1500
532	1709	1497
533	1712	1494
534	1715	1490
535	1718	1487
536	1721	1484
537	1724	1481
538	1727	1477
539	1731	1474
540	1734	1471
541	1737	1468
542	1740	1464
543	1743	1461
544	1747	1458
545	1750	1455
546	1753	1451
547	1756	1448
548	1759	1445
549	1762	1441
550	1765	1438
551	1768	1435
552	1771	1431
553	1774	1428
554	1777	1425
555	1780	1422
556	1783	1418
557	1786	1415
558	1789	1412
559	1793	1408
560	1796	1405
561	1799	1402
562	1802	1399
563	1805	1395
564	1808	1392
565	1811	1389
566	1815	1386
567	1818	1382
568	1821	1379
569	1826	1377
570	1829	1374
571	1833	1371
572	1836	1368
573	1840	1366
574	1845	1363
575	1848	1360
576	1851	1357
577	1855	1354
578	1859	1351
579	1862	1348
580	1866	1345
581	1869	1342
582	1873	1339
583	1877	1337
584	1880	1334
585	1884	1331
586	1887	1328
587	1891	1325
588	1895	1322
589	1898	1319
590	1901	1316
591	1905	1313
592	1908	1310
593	1912	1307
594	1915	1304
595	1919	1301
596	1923	1298
597	1926	1295
598	1929	1292
599	1933	1288
600	1936	1285
601	1940	1282
602	1943	1279
603	1947	1276
604	1950	1273
605	1953	1270
606	1957	1267
607	1961	1264
608	1965	1261
609	1970	1259
610	1974	1256
611	1978	1254
612	1983	1252
613	1988	1250
614	1993	1248
615	1998	1245
616	2003	1243
617	2008	1241
618	2012	1238
619	2017	1236
620	2021	1233
621	2025	1230
622	2029	1228
623	2033	1225
624	2037	1222
625	2041	1219
626	2046	1217
627	2050	1214
628	2055	1212
629	2060	1209
630	2063	1206
631	2069	1204
632	2074	1202
633	2078	1199
634	2083	1197
635	2087	1194
636	2091	1191
637	2095	1189
638	2099	1186
639	2102	1182
640	2106	1179
641	2110	1176
642	2114	1174
643	2118	1171
644	2122	1168
645	2126	1165
646	2131	1162
647	2135	1159
648	2138	1156
649	2142	1153
650	2147	1151
651	2151	1148
652	2154	1145
653	2158	1142
654	2162	1139
655	2166	1136
656	2169	1132
657	2173	1129
658	2177	1126
659	2180	1123
660	2184	1120
661	2188	1117
662	2192	1114
663	2195	1111
664	2199	1107
665	2203	1104
666	2206	1101
667	2210	1098
668	2214	1095
669	2218	1092
670	2222	1089
671	2226	1086
672	2231	1084
673	2234	1080
674	2238	1077
675	2243	1075
676	2248	1072
677	2252	1069
678	2257	1067
679	2261	1064
680	2266	1061
681	2270	1058
682	2275	1056
683	2278	1052
684	2282	1049
685	2286	1046
686	2291	1043
687	2295	1040
688	2299	1037
689	2303	1035
690	2308	1032
691	2312	1029
692	2316	1026
693	2320	1023
694	2325	1020
695	2329	1017
696	2333	1014
697	2337	1011
698	2341	1008
699	2344	1004
700	2347	1001
701	2350	997
702	2354	994
703	2357	991
704	2360	987
705	2364	984
706	2367	981
707	2371	978
708	2375	974
709	2379	971
710	2382	968
711	2387	965
712	2391	962
713	2396	959
714	2400	956
715	2404	953
716	2407	950
717	2411	946
718	2414	943
719	2418	940
720	2421	937
721	2425	933
722	2429	930
723	2433	927
724	2436	924
725	2440	921
726	2444	917
727	2447	914
728	2451	911
729	2455	908
730	2458	904
731	2461	901
732	2464	897
733	2468	894
734	2471	891
735	2474	887
736	2478	884
737	2481	880
738	2484	877
739	2487	874
740	2490	870
741	2493	867
742	2497	864
743	2501	860
744	2505	857
745	2508	854
746	2511	850
747	2515	847
748	2518	844
749	2522	840
750	2525	837
751	2529	834
752	2533	830
753	2536	827
754	2540	824
755	2544	821
756	2547	817
757	2551	814
758	2554	811
759	2558	807
760	2562	804
761	2565	801
762	2569	798
763	2573	794
764	2576	791
765	2580	788
766	2583	784
767	2587	781
768	2591	778
769	2595	775
770	2599	771
771	2603	768
772	2607	765
773	2611	762
774	2615	759
775	2619	756
776	2622	752
777	2626	749
778	2631	746
779	2635	743
780	2639	740
781	2644	737
782	2648	733
783	2652	730
784	2656	727
785	2660	724
786	2664	721
787	2668	717
788	2672	714
789	2676	711
790	2680	708
791	2684	705
792	2688	701
793	2692	698
794	2696	695
795	2700	692
796	2704	688
797	2707	685
798	2711	682
799	2715	678
800	2719	675
801	2723	672
802	2727	669
803	2732	666
804	2736	662
805	2740	659
806	2744	656
807	2749	653
808	2753	650
809	2757	646
810	2760	643
811	2764	640
812	2768	636
813	2771	633
814	2775	630
815	2779	626
816	2782	623
817	2786	619
818	2789	616
819	2792	612
820	2795	609
821	2798	606
822	2802	602
823	2806	599
824	2810	596
825	2813	592
826	2817	589
827	2820	585
828	2824	582
829	2828	579
830	2832	575
831	2835	572
832	2839	569
833	2843	565
834	2847	562
835	2851	559
836	2854	555
837	2858	552
838	2862	549
839	2866	545
840	2869	542
841	2874	539
842	2877	535
843	2881	532
844	2884	529
845	2888	525
846	2892	522
847	2895	519
848	2899	515
849	2902	512
850	2906	508
851	2910	505
852	2914	502
853	2917	498
854	2921	495
855	2925	492
856	2929	488
857	2933	485
858	2937	482
859	2941	478
860	2945	475
861	2949	472
862	2954	469
863	2958	465
864	2963	462
865	2968	459
866	2972	456
867	2977	452
868	2982	449
869	2987	446
870	2992	443
871	2996	439
872	3001	436
873	3005	433
874	3009	429
875	3013	426
876	3019	423
877	3024	420
878	3028	416
879	3033	413
880	3037	410
881	3041	406
882	3045	403
883	3050	400
884	3054	396
885	3058	393
886	3062	390
887	3066	386
888	3070	383
889	3073	379
890	3077	376
891	3082	373
892	3085	369
893	3089	366
894	3093	362
895	3097	359
896	3101	356
897	3106	352
898	3110	349
899	3115	346
900	3120	342
901	3124	339
902	3129	336
903	3133	332
904	3137	329
905	3141	325
906	3147	322
907	3151	319
908	3155	315
909	3160	312
910	3165	309
911	3169	305
912	3174	302
913	3179	299
914	3183	295
915	3187	292
916	3192	288
917	3196	285
918	3200	282
919	3204	278
920	3209	275
921	3214	271
922	3218	268
923	3222	265
924	3227	261
925	3231	258
926	3235	254
927	3241	251
928	3245	248
929	3250	244
930	3254	241
931	3259	237
932	3263	234
933	3267	230
934	3272	227
935	3277	224
936	3280	220
937	3284	217
938	3289	213
939	3292	210
940	3296	206
941	3299	203
942	3303	199
943	3306	196
944	3310	192
945	3314	189
946	3318	185
947	3321	182
948	3325	178
949	3329	175
950	3332	171
951	3336	168
952	3339	164
953	3343	161
954	3347	157
955	3352	154
956	3356	150
957	3360	147
958	3363	143
959	3368	140
960	3372	136
961	3376	133
962	3380	129
963	3383	126
964	3387	122
965	3391	119
966	3395	115
967	3399	112
968	3403	108
969	3407	105
970	3410	101
971	3414	98
972	3417	94
973	3421	91
974	3425	87
975	3428	84
976	3432	80
977	3436	77
978	3439	73
979	3442	70
980	3446	66
981	3450	63
982	3453	59
983	3457	56
984	3460	52
985	3465	49
986	3468	45
987	3471	42
988	3475	38
989	3479	35
990	3482	31
991	3486	28
992	3489	24
993	3492	21
994	3496	17
995	3500	14
996	3503	10
997	3506	7
998	3510	3
999	3513	0
